,filename,acc,prec,recall,f1
0,out_03-05-2020__19:35:41 LSTM no-freeze.json,0.8747909152746285,0.8717082075229113,0.8742543650793649,0.8713730651331524
0,out_03-06-2020__16:58:22 CNN char.json,0.8428672445247543,0.8369464355483831,0.8422928571428571,0.836795428631832
0,out_03-05-2020__20:14:17 LSTM freeze.json,0.8691752944271227,0.8649176260335565,0.8687166666666666,0.8646279767206675
0,out_03-06-2020__14:12:00 LSTM-CNN Freeze.json,0.8853620695153062,0.8819182184742882,0.8847892857142858,0.8825761069015939
0,out_03-06-2020__14:48:01 LSTM-CNN no freeze.json,0.8828246513888889,0.8795744409770545,0.8823825396825397,0.8796585957962719
0,out_03-05-2020__20:35:15 CNN no freeze.json,0.8655688831853112,0.8612854469765875,0.8650559523809523,0.8621628176144988
0,out_03-05-2020__20:57:37 CNN freeze.json,0.8601417032344421,0.8557633735173583,0.8597154761904762,0.8550358735624138
